cle	doc_id	Cl initiale	Cl finale	label classe finale	Cl regroupée	Verbatim	liste_index_lir	classe_lir	liste_discriminant_lir
string	string	string	string	string	string	string	Histogram	Integer	Histogram
227	101	1	1	attente interlocuteur	attente	je dirais que depuis l'ouverture à la concurrence il y a eu des restructurations, du coup c'est difficile d'obtenir un bon interlocuteur finalement edf nous a trouve un interlocuteur unique ce qui simplifie les contacts encore aujourd'hui ca n'est pas toujours facile edf nous envoie dans des centres qui sont trop eloignes.	aujourd'hui(1),avoir(3),bon(1),ca(1),centre(1),concurrence(1),contact(1),coup(1),difficile(1),dire(1),edf(2),eloignes(1),encore(1),envoyer(1),facile(1),finalement(1),interlocuteur(2),ne(1),obtenir(1),ouverture(1),pas(1),restructuration(1),simplifier(1),toujours(1),trop(1),trouver(1),unique(1),être(3)	2	avoir(3),bon(1),ca(1),contact(1),edf(2),envoyer(1),interlocuteur(2),ne(1),obtenir(1),pas(1),toujours(1),trop(1),être(3),
4	2	1	1	attente interlocuteur	attente	c'est difficile d'avoir pour poser de nouveaux disjoncteurs je souhaite un interlocuteur privilégié pour le rachat d'électricité.	avoir(1),difficile(1),disjoncteur(1),interlocuteur(1),nouveau(1),poser(1),privilégier(1),rachat(1),souhaiter(1),électricité(1),être(1)	2	avoir(1),interlocuteur(1),nouveau(1),être(1),
817	357	1	1	attente interlocuteur	attente	difficultés pour joindre directement un technicien.	difficulté(1),directement(1),joindre(1),technicien(1)	2	joindre(1),technicien(1),
22	14	1	1	attente interlocuteur	attente	moins d'attente au telephone.	attente(1),moins(1),telephone(1)	2	attente(1),telephone(1),
793	348	1	1	attente interlocuteur	attente	la procedure administrative chez edf est encore lourde le probleme de la multiplicite des interlocuteurs.	administratif(1),edf(1),encore(1),interlocuteur(1),lourd(1),multiplicite(1),probleme(1),procedure(1),être(1)	2	edf(1),interlocuteur(1),être(1),
50	22	1	1	attente interlocuteur	attente	au debut c'etait long pour avoir un interlocuteur au telephone mais ca va maintenant.	aller(1),avoir(1),ca(1),debut(1),etait(1),interlocuteur(1),long(1),maintenant(1),telephone(1)	3	avoir(1),ca(1),interlocuteur(1),long(1),telephone(1),
787	346	1	1	attente interlocuteur	attente	avoir des interlocuteurs directs et des numeros d agence et surtout avoir des technicien.	agence(1),avoir(2),d(1),direct(1),interlocuteur(1),numeros(1),surtout(1),technicien(1)	4	avoir(2),interlocuteur(1),technicien(1),
634	274	1	1	attente interlocuteur	attente	une difficulté réelle pour obtenir un interlocuteur chez les professionnels les horaires ne sont pas adaptes aux professionnels.	adapter(1),difficulté(1),horaire(1),interlocuteur(1),ne(1),obtenir(1),pas(1),professionnel(2),réel(1),être(1)	2	interlocuteur(1),ne(1),obtenir(1),pas(1),être(1),
753	327	1	1	attente interlocuteur	attente	tres difficile pour joindre un interlocuteur.	difficile(1),interlocuteur(1),joindre(1),tres(1)	2	interlocuteur(1),joindre(1),
733	319	1	1	attente interlocuteur	attente	c'est de pouvoir joindre un interlocuteur.	interlocuteur(1),joindre(1),pouvoir(1),être(1)	2	interlocuteur(1),joindre(1),pouvoir(1),être(1),
436	193	1	1	attente interlocuteur	attente	la multiplicite des interlocuteurs et des intervenants c'est gênant.	gênant(1),interlocuteur(1),intervenant(1),multiplicite(1),être(1)	2	interlocuteur(1),être(1),
693	302	1	1	attente interlocuteur	attente	edf devrait etre notre interlocuteur unique du debut de notre relation jusqu'a la fin.	avoir(1),debut(1),devoir(1),edf(1),etre(1),fin(1),interlocuteur(1),relation(1),unique(1)	2	avoir(1),devoir(1),edf(1),interlocuteur(1),
52	24	1	1	attente interlocuteur	attente	plus de contact sur le terrain avec les agents edf difficultes a joindre les agents edf avec le 08.	@ord@(1),agent(2),avoir(1),contact(1),difficultes(1),edf(2),joindre(1),plus(1),terrain(1)	2	avoir(1),contact(1),edf(2),joindre(1),plus(1),
358	157	1	1	attente interlocuteur	attente	on tombe jamais sur le même centre la multiplicité d'interlocuteurs.	centre(1),interlocuteur(1),jamais(1),multiplicité(1),même(1),tomber(1)	3	interlocuteur(1),jamais(1),
707	307	1	1	attente interlocuteur	attente	simplifier les démarches pour trouver le bon interlocuteur quand on en a besoin avoir un numéro unique.	avoir(2),besoin(1),bon(1),démarche(1),interlocuteur(1),numéro(1),simplifier(1),trouver(1),unique(1)	2	avoir(2),bon(1),interlocuteur(1),
433	191	1	1	attente interlocuteur	attente	l'attente téléphonique pour avoir un interlocuteur, c'est un gros problème.	attente(1),avoir(1),gros(1),interlocuteur(1),problème(1),téléphonique(1),être(1)	2	attente(1),avoir(1),interlocuteur(1),être(1),
742	323	1	1	attente interlocuteur	attente	avoir un interlocuteur de la region.	avoir(1),interlocuteur(1),region(1)	2	avoir(1),interlocuteur(1),
1767	732	1	1	attente interlocuteur	attente	il s'avere tres difficile d'avoir le bon interlocuteur au telephone,on perd beaucoup de temps en attente au telephone pour obtenir la personne adequate.	adequate(1),attente(1),avere(1),avoir(1),beaucoup(1),bon(1),difficile(1),interlocuteur(1),obtenir(1),perdre(1),personne(1),telephone(1),telephone,on(1),temps(1),tres(1)	2	attente(1),avoir(1),beaucoup(1),bon(1),interlocuteur(1),obtenir(1),personne(1),telephone(1),temps(1),
2274	940	1	1	attente interlocuteur	attente	le temps d'attente entre la demande et la mise en service surtout pour une reprise d'un compteur existant :15 jours à 3 semaine alors qu'il n'y a pas de modification il y a des micro-coupures essentiellement le matin entre 9h et 12h : délicat pour le matériel informatique.	12h(1),9h(1),alors(1),attente(1),avoir(2),compteur(1),demande(1),délicat(1),essentiellement(1),exister(1),informatique(1),jour(1),matin(1),matériel(1),micro-coupures(1),mise(1),modification(1),ne(1),pas(1),reprise(1),semaine(1),service(1),surtout(1),temps(1)	4	alors(1),attente(1),avoir(2),demande(1),jour(1),ne(1),pas(1),service(1),temps(1),
394	173	1	1	attente interlocuteur	attente	il faudrait pouvoir joindre les collaborateurs sur le terrain c'est inadmissible qu'on ne puisse pas les joindre à n'importe quel moment il faut leur donner des portables.	collaborateur(1),donner(1),falloir(2),importer(1),inadmissible(1),joindre(2),moment(1),ne(2),pas(1),portable(1),pouvoir(2),terrain(1),être(1)	2	joindre(2),ne(2),pas(1),pouvoir(2),être(1),
348	152	1	1	attente interlocuteur	attente	ce serait bien que le contact se fasse par telephone et pas par courrier il faudrait que ce soit la meme personne au telephone.	bien(1),contact(1),courrier(1),faire(1),falloir(1),meme(1),pas(1),personne(1),telephone(2),être(2)	3	bien(1),contact(1),faire(1),meme(1),pas(1),personne(1),telephone(2),être(2),
287	130	1	1	attente interlocuteur	attente	il parle trop technique et le temps d'attente pour obtenir un interlocuteur.	attente(1),interlocuteur(1),obtenir(1),parler(1),technique(1),temps(1),trop(1)	2	attente(1),interlocuteur(1),obtenir(1),temps(1),trop(1),
114	45	1	1	attente interlocuteur	attente	on veut avoir un interlocuteur unique chez edf.	avoir(1),edf(1),interlocuteur(1),unique(1),vouloir(1)	2	avoir(1),edf(1),interlocuteur(1),
235	106	1	1	attente interlocuteur	attente	le fait de ne pas les joindre facilement.	facilement(1),fait(1),joindre(1),ne(1),pas(1)	2	joindre(1),ne(1),pas(1),
837	364	1	1	attente interlocuteur	attente	j aimerai bien les avoirs au téléphone pour trouver une solution.	aimer(1),avoir(1),bien(1),j(1),solution(1),trouver(1),téléphone(1)	1	avoir(1),bien(1),
211	94	1	1	attente interlocuteur	attente	qu'on soit pris en compte tout de suite et qu'on ne passe pas par trente interlocuteurs.	compter(1),interlocuteur(1),ne(1),pas(1),passer(1),prendre(1),suite(1),tout(1),être(1)	4	interlocuteur(1),ne(1),pas(1),passer(1),prendre(1),tout(1),être(1),
479	209	1	1	attente interlocuteur	attente	répondre plus rapidement au téléphone, difficultés pour joindre le bon interlocuteur.	bon(1),difficulté(1),interlocuteur(1),joindre(1),plus(1),rapidement(1),répondre(1),téléphone(1)	2	bon(1),interlocuteur(1),joindre(1),plus(1),
184	80	1	1	attente interlocuteur	attente	le temps d'attente pour avoir un bon interlocuteur.	attente(1),avoir(1),bon(1),interlocuteur(1),temps(1)	2	attente(1),avoir(1),bon(1),interlocuteur(1),temps(1),
302	139	1	1	attente interlocuteur	attente	il a un abonnement très cher alors qu'il effectue des travaux dans sa discothèque un temps d'attente trop long pour obtenir un interloculeur.	abonnement(1),alors(1),attente(1),avoir(1),cher(1),discothèque(1),effectuer(1),interloculeur(1),long(1),obtenir(1),temps(1),travail(1),trop(1),très(1)	2	alors(1),attente(1),avoir(1),long(1),obtenir(1),temps(1),travail(1),trop(1),
2384	998	1	1	attente interlocuteur	attente	moins d'attente au telephone.	attente(1),moins(1),telephone(1)	2	attente(1),telephone(1),
2635	1088	1	1	attente interlocuteur	attente	trop d'attente au téléphone je souhaite qu'EDF enlève le vieux compteur.	attente(1),compteur(1),enlever(1),souhaiter(1),trop(1),téléphone(1),vieux(1)	2	attente(1),trop(1),
2331	972	1	1	attente interlocuteur	attente	1er vivement la privatisation pour avoir des interlocuteurs performant depuis 5 mois d'installation je n'ai jamais eut de factures pas d'interlocuteur qui daigne rappeler le professionnel. pourquoi ? après avoir téléphone 20 fois à edf pro qui va rembourse mes communications ? et le temps perdu avec des communications qui en plus n'ont pas abouti.	aboutir(1),aller(1),avoir(5),communication(2),daigner(1),edf(1),facture(1),foi|fois(1),installation(1),interlocuteur(2),jamais(1),moi|mois(1),ne(2),pas(2),perdre(1),performant(1),plus(1),pourquoi(1),privatisation(1),pro(1),professionnel(1),rappeler(1),rembourser(1),temps(1),téléphoner(1),vivement(1)	3	avoir(5),edf(1),facture(1),foi|fois(1),interlocuteur(2),jamais(1),moi|mois(1),ne(2),pas(2),plus(1),temps(1),
2657	1097	1	1	attente interlocuteur	attente	la seule chose quand on apelle le sevrice edf c'est que le temps d'attente est si long et en plus l'appel est payant je trouve cela anormal.	anormal(1),apelle(1),appel(1),attente(1),chose(1),edf(1),long(1),payant(1),plus(1),seul(1),sevrice(1),si(1),temps(1),trouver(1),être(3)	2	attente(1),chose(1),edf(1),long(1),plus(1),temps(1),être(3),
2192	899	1	1	attente interlocuteur	attente	qu'ils aient plus de standards pour eviter la perte de temps.	avoir(1),eviter(1),perte(1),plus(1),standard(1),temps(1)	2	avoir(1),plus(1),temps(1),
